dates,load,tempc,year,month,day,forecasted_load
2014-01-01 00:00:00,12298.80114698793,1.0950613105045583,2014,1,1,12017.797
2014-01-01 01:00:00,12297.10982335456,4.825945941769488,2014,1,1,11109.213
2014-01-01 02:00:00,12285.295246664122,12.240134618372226,2014,1,1,10302.838
2014-01-01 03:00:00,12368.070072870578,6.927714019735264,2014,1,1,10858.583
2014-01-01 04:00:00,12639.0173590162,7.933694783770129,2014,1,1,10727.888
2014-01-01 05:00:00,13055.191392790042,7.136823278551664,2014,1,1,12262.289
2014-01-01 06:00:00,13420.289659690465,0.0742803209809968,2014,1,1,13963.365
2014-01-01 07:00:00,13555.692953412225,-2.439950595767128,2014,1,1,15235.843
2014-01-01 08:00:00,13328.329038504073,2.980522484251983,2014,1,1,13916.123
2014-01-01 09:00:00,12978.980244890136,0.7819298683569231,2014,1,1,13526.79
2014-01-01 10:00:00,12468.363674516884,0.8681633273426459,2014,1,1,13126.826
2014-01-01 11:00:00,11898.969818575852,-3.4198575780430804,2014,1,1,13012.318
2014-01-01 12:00:00,11264.466691803253,-0.7360460078990124,2014,1,1,12178.19
2014-01-01 13:00:00,10641.280582361258,1.0067467103372691,2014,1,1,12210.277
2014-01-01 14:00:00,10125.714603108823,10.72599558546322,2014,1,1,11035.016
2014-01-01 15:00:00,9863.592938547285,9.357656103773866,2014,1,1,10984.885
2014-01-01 16:00:00,9808.271552105096,18.028124269687808,2014,1,1,11150.348
2014-01-01 17:00:00,10437.223711004524,13.585565716563124,2014,1,1,11265.511
2014-01-01 18:00:00,11286.314392662402,19.737013406403943,2014,1,1,11849.16
2014-01-01 19:00:00,11324.805071185452,18.876554198923927,2014,1,1,12094.485
2014-01-01 20:00:00,11308.21764073071,19.61156471435637,2014,1,1,11642.145
2014-01-01 21:00:00,11354.608637368729,22.161827256691,2014,1,1,11364.001
2014-01-01 22:00:00,11340.106202741108,14.121715545587852,2014,1,1,11019.575
2014-01-01 23:00:00,11351.3879,17.307140902170744,2014,1,1,9898.367
2014-01-02 00:00:00,11578.607373152328,20.562877014089047,2014,1,2,9294.809
2014-01-02 01:00:00,12000.521019052392,11.288221322081888,2014,1,2,10549.981
2014-01-02 02:00:00,12537.301000676527,9.693945141632485,2014,1,2,10791.005
2014-01-02 03:00:00,13246.96310092456,5.729044904530214,2014,1,2,10709.192
2014-01-02 04:00:00,14106.503540171503,6.6982029729714965,2014,1,2,11441.224
2014-01-02 05:00:00,15433.264380043223,-3.5735437409801616,2014,1,2,14048.062
2014-01-02 06:00:00,16846.531566756537,0.2863399062845963,2014,1,2,14011.753
2014-01-02 07:00:00,17739.32293601586,0.2248620916529282,2014,1,2,13905.924
2014-01-02 08:00:00,17704.379528906677,1.1280450548937326,2014,1,2,14462.415
2014-01-02 09:00:00,17423.01055003551,-2.136168261348645,2014,1,2,14310.302
2014-01-02 10:00:00,16972.65126797892,-5.337923763945092,2014,1,2,13645.35
2014-01-02 11:00:00,16336.022740740023,-3.935216603405416,2014,1,2,12389.089
2014-01-02 12:00:00,15591.439366765971,-3.1888213459581256,2014,1,2,12777.447
2014-01-02 13:00:00,14791.891033978458,-1.9495342452433784,2014,1,2,11546.783
2014-01-02 14:00:00,14133.235602706956,-2.6750677628209627,2014,1,2,11801.058
2014-01-02 15:00:00,13753.203690297249,0.0848352336023212,2014,1,2,11968.414
2014-01-02 16:00:00,13869.800575095793,1.5678468523034566,2014,1,2,12831.581
2014-01-02 17:00:00,14952.24282939392,-5.856442147992548,2014,1,2,13562.577
2014-01-02 18:00:00,16278.568063393544,0.0837911925013319,2014,1,2,14129.83
2014-01-02 19:00:00,16524.13234618723,8.129889129261779,2014,1,2,12433.069
2014-01-02 20:00:00,16585.13246902095,4.909059252139889,2014,1,2,14102.114
2014-01-02 21:00:00,16360.930937218982,6.12696920994835,2014,1,2,13447.689
2014-01-02 22:00:00,15787.72630406183,2.0687539261828185,2014,1,2,13917.82
2014-01-02 23:00:00,15201.128599999996,4.0804146973911415,2014,1,2,12310.0
2014-01-03 00:00:00,14809.309590276196,3.19571061125552,2014,1,3,13081.557
2014-01-03 01:00:00,14663.466065597668,3.080828177630127,2014,1,3,12216.35
2014-01-03 02:00:00,14689.660836226818,3.465639411517089,2014,1,3,13183.239
2014-01-03 03:00:00,14895.373290367765,2.6742701897451555,2014,1,3,13885.479
2014-01-03 04:00:00,15343.803231240548,2.8715259580543453,2014,1,3,14006.306
2014-01-03 05:00:00,16269.416330864678,3.918519824239573,2014,1,3,15493.949
2014-01-03 06:00:00,17342.438627894444,1.7592468337830949,2014,1,3,17184.8
2014-01-03 07:00:00,17885.31037169995,2.4377368798225385,2014,1,3,17053.664
2014-01-03 08:00:00,17468.377485575067,-1.1375929425853804,2014,1,3,16869.607
2014-01-03 09:00:00,16661.697024786346,-4.267075420951838,2014,1,3,17208.8
2014-01-03 10:00:00,15969.076181783455,0.5807376481779878,2014,1,3,16194.54
2014-01-03 11:00:00,15123.431661221,-1.6742304019847052,2014,1,3,15791.277
2014-01-03 12:00:00,14305.149610644225,-3.1534342083809266,2014,1,3,15372.611
2014-01-03 13:00:00,13614.022559133617,-2.700719806969893,2014,1,3,14304.52
2014-01-03 14:00:00,13035.71563840892,-0.1302753425765402,2014,1,3,13616.65
2014-01-03 15:00:00,12697.420010522848,4.574353056247976,2014,1,3,13411.99
2014-01-03 16:00:00,12764.541157585203,6.728718392669102,2014,1,3,13578.287
2014-01-03 17:00:00,13705.24939782735,8.200626858739316,2014,1,3,13729.8545
2014-01-03 18:00:00,14708.980515425628,5.948712461270517,2014,1,3,15161.352
2014-01-03 19:00:00,14752.176214943638,9.188575904667056,2014,1,3,15028.078
2014-01-03 20:00:00,14726.981331812964,14.485543218148791,2014,1,3,14321.378
2014-01-03 21:00:00,14426.139568078795,5.075669363207581,2014,1,3,15643.581
2014-01-03 22:00:00,13895.161471516229,7.917295655489227,2014,1,3,14243.951
2014-01-03 23:00:00,13267.9398,9.16770502058572,2014,1,3,13423.864
2014-01-04 00:00:00,12751.14982860624,5.52393812280099,2014,1,4,12794.916
2014-01-04 01:00:00,12403.596889170733,9.981002925367203,2014,1,4,11865.668
2014-01-04 02:00:00,12266.947107913693,12.72111892626207,2014,1,4,11555.36
2014-01-04 03:00:00,12236.522123080193,7.603873064424317,2014,1,4,12476.644
